latitude,longitude,filename,sst,chlor_a,Kd_490
-29.156357,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,2.6885757,0.19659999
-29.145935,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,2.995286,0.2144
-29.145935,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.049165,0.21759999
-29.135513,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,2.6930542,0.1968
-29.135513,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.0277789,0.2164
-29.135513,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,2.967838,0.2128
-29.135513,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,2.9331143,0.21079999
-29.135513,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,2.8789222,0.2076
-29.125093,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,2.843721,0.2056
-29.125093,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,2.8319108,0.205
-29.125093,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,2.9109132,0.2096
-29.125093,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.0328283,0.21679999
-29.125093,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,2.740015,0.1996
-29.125093,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,2.9010553,0.20899999
-29.114674,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.2673328,0.23079999
-29.114674,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.0051038,0.21499999
-29.114674,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.0399082,0.2172
-29.114674,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.1582046,0.2242
-29.114674,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.0623538,0.2184
-29.114674,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.0702014,0.219
-29.114674,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.0869575,0.22
-29.114674,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.161891,0.2244
-29.104252,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.3306007,0.2972
-29.104252,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.7445698,0.2598
-29.104252,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.704416,0.2574
-29.104252,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.1295674,0.2224
-29.104252,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.0020418,0.2148
-29.104252,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.0826228,0.21959999
-29.104252,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.0435534,0.2174
